,Country,Region,Year,average_carbon_tax,average_ETS
0,Albania,Europe & Central Asia,1990,,
1,Albania,Europe & Central Asia,1991,,
2,Albania,Europe & Central Asia,1992,,
3,Albania,Europe & Central Asia,1993,,
4,Albania,Europe & Central Asia,1994,,
5,Albania,Europe & Central Asia,1995,,
6,Albania,Europe & Central Asia,1996,,
7,Albania,Europe & Central Asia,1997,,
8,Albania,Europe & Central Asia,1998,,
9,Albania,Europe & Central Asia,1999,,
10,Albania,Europe & Central Asia,2000,,
11,Albania,Europe & Central Asia,2001,,
12,Albania,Europe & Central Asia,2002,,
13,Albania,Europe & Central Asia,2003,,
14,Albania,Europe & Central Asia,2004,,
15,Albania,Europe & Central Asia,2005,,
16,Albania,Europe & Central Asia,2006,,
17,Albania,Europe & Central Asia,2007,,
18,Albania,Europe & Central Asia,2008,,
19,Albania,Europe & Central Asia,2009,,
20,Albania,Europe & Central Asia,2010,,
21,Albania,Europe & Central Asia,2011,,
22,Albania,Europe & Central Asia,2012,,
23,Albania,Europe & Central Asia,2013,,
24,Albania,Europe & Central Asia,2014,,
25,Albania,Europe & Central Asia,2015,,
26,Albania,Europe & Central Asia,2016,,
27,Albania,Europe & Central Asia,2017,,
28,Albania,Europe & Central Asia,2018,,
29,Albania,Europe & Central Asia,2019,,
30,Albania,Europe & Central Asia,2020,,
31,Albania,Europe & Central Asia,2021,,
32,Albania,Europe & Central Asia,2022,,
33,Albania,Europe & Central Asia,2023,,
34,Albania,Europe & Central Asia,2024,13.11135507,
35,Argentina,Latin America & Caribbean,1990,,
36,Argentina,Latin America & Caribbean,1991,,
37,Argentina,Latin America & Caribbean,1992,,
38,Argentina,Latin America & Caribbean,1993,,
39,Argentina,Latin America & Caribbean,1994,,
40,Argentina,Latin America & Caribbean,1995,,
41,Argentina,Latin America & Caribbean,1996,,
42,Argentina,Latin America & Caribbean,1997,,
43,Argentina,Latin America & Caribbean,1998,,
44,Argentina,Latin America & Caribbean,1999,,
45,Argentina,Latin America & Caribbean,2000,,
46,Argentina,Latin America & Caribbean,2001,,
47,Argentina,Latin America & Caribbean,2002,,
