country,gdp_growth,inflation,unemployment,trade_openness,renewable_energy_pct,manufacturing_growth,ores_metals_exports_pct,population
belgium,0,0,0,9,2,6,9,0
canada,1,1,1,1,3,9,1,1
finland,1,1,1,1,3,1,1,1
france,1,1,1,1,3,1,1,1
greece,0,0,0,0,2,6,0,0
ireland,1,1,1,1,3,7,1,1
italy,0,0,0,0,2,1,0,0
japan,1,1,1,1,3,7,1,1
"korea, rep.",1,1,1,1,3,1,2,1
lithuania,1,2,4,5,2,6,3,0
new zealand,1,1,1,1,3,2,1,1
portugal,1,1,1,1,3,7,1,1
saudi arabia,0,0,9,0,2,0,3,0
sweden,1,1,1,1,3,1,1,1
turkiye,0,0,0,0,2,0,0,0
united states,0,0,0,0,2,9,0,0
