country,per_capita_emissions
China,0.0006054531308696573
Saudi Arabia,2.2131999683023463e-05
United Arab Emirates,2.1879916835109875e-05
Australia,1.4365608125271858e-05
Canada,1.369899431541826e-05
Russian Federation,1.2625833011011282e-05
Kazakhstan,1.2550919562438046e-05
Luxembourg,1.0493375148177603e-05
Iceland,9.565296975459453e-06
Singapore,8.323036449616469e-06
Malaysia,8.222434940340139e-06
Japan,7.940983796142926e-06
Poland,7.885046926116474e-06
Estonia,7.3113933879496695e-06
Germany,7.158398174831892e-06
Belgium,7.072665501187155e-06
Norway,7.0478009795648015e-06
Netherlands,6.638005445732665e-06
Ireland,6.487451955686186e-06
Austria,6.414753956000382e-06
